Table_Name,Variable_Name,Type,new_names,Table_ID,old_names
Residence type,Total,Value,ts0010001,ts001,Residence type: Total; measures: Value
Residence type,Lives in a household,Value,ts0010002,ts001,Residence type: Lives in a household; measures: Value
Residence type,Lives in a communal establishment,Value,ts0010003,ts001,Residence type: Lives in a communal establishment; measures: Value
Marital and civil partnership status,Total,Value,ts0020001,ts002,Marital and civil partnership status: Total; measures: Value
Marital and civil partnership status,Never married and never registered a civil partnership,Value,ts0020002,ts002,Marital and civil partnership status: Never married and never registered a civil partnership; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership,Value,ts0020003,ts002,Marital and civil partnership status: Married or in a registered civil partnership; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: Married,Value,ts0020004,ts002,Marital and civil partnership status: Married or in a registered civil partnership: Married; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: Married: Opposite sex,Value,ts0020005,ts002,Marital and civil partnership status: Married or in a registered civil partnership: Married: Opposite sex; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: Married: Same sex,Value,ts0020006,ts002,Marital and civil partnership status: Married or in a registered civil partnership: Married: Same sex; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership,Value,ts0020007,ts002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership: Opposite sex,Value,ts0020008,ts002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Opposite sex; measures: Value
Marital and civil partnership status,Married or in a registered civil partnership: In a registered civil partnership: Same sex,Value,ts0020009,ts002,Marital and civil partnership status: Married or in a registered civil partnership: In a registered civil partnership: Same sex; measures: Value
Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership",Value,ts0020010,ts002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership; measures: Value"
Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership: Separated, but still married",Value,ts0020011,ts002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still married; measures: Value"
Marital and civil partnership status,"Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership",Value,ts0020012,ts002,"Marital and civil partnership status: Separated, but still legally married or still legally in a civil partnership: Separated, but still in a registered civil partnership; measures: Value"
Marital and civil partnership status,Divorced or civil partnership dissolved,Value,ts0020013,ts002,Marital and civil partnership status: Divorced or civil partnership dissolved; measures: Value
Marital and civil partnership status,Divorced or civil partnership dissolved: Divorced,Value,ts0020014,ts002,Marital and civil partnership status: Divorced or civil partnership dissolved: Divorced; measures: Value
